"filename";"fold";"specific_epithet"
"ALCB002267";3;"Peperomia+arifolia"
"ALCB002268";3;"Peperomia+arifolia"
"ALCB002269";3;"Peperomia+arifolia"
"ALCB002272";7;"Peperomia+blanda"
"ALCB002274";7;"Peperomia+blanda"
"ALCB002282_1";7;"Peperomia+blanda"
"ALCB002285";7;"Peperomia+blanda"
"ALCB002286";7;"Peperomia+blanda"
"ALCB002292";8;"Peperomia+campinasana"
"ALCB002293";12;"Peperomia+clivicola"
"ALCB002295";13;"Peperomia+corcovadensis"
"ALCB002298";25;"Peperomia+galioides"
"ALCB002302";25;"Peperomia+galioides"
"ALCB002304";27;"Peperomia+glabella"
"ALCB002305";27;"Peperomia+glabella"
"ALCB002306";27;"Peperomia+glabella"
"ALCB002307";27;"Peperomia+glabella"
"ALCB002308";27;"Peperomia+glabella"
"ALCB002313";39;"Peperomia+magnoliifolia"
"ALCB002317";39;"Peperomia+magnoliifolia"
"ALCB002318";39;"Peperomia+magnoliifolia"
"ALCB002319";44;"Peperomia+nitida"
"ALCB002320";44;"Peperomia+nitida"
"ALCB002321";44;"Peperomia+nitida"
"ALCB002322";44;"Peperomia+nitida"
"ALCB002325";45;"Peperomia+obtusifolia"
"ALCB002327";45;"Peperomia+obtusifolia"
"ALCB002328";45;"Peperomia+obtusifolia"
"ALCB002330";45;"Peperomia+obtusifolia"
"ALCB002331";45;"Peperomia+obtusifolia"
"ALCB002332";45;"Peperomia+obtusifolia"
"ALCB002333";45;"Peperomia+obtusifolia"
"ALCB002334";45;"Peperomia+obtusifolia"
"ALCB002335";45;"Peperomia+obtusifolia"
"ALCB002344_1";45;"Peperomia+obtusifolia"
"ALCB002345";45;"Peperomia+obtusifolia"
"ALCB002348";48;"Peperomia+pellucida"
"ALCB002365";48;"Peperomia+pellucida"
"ALCB002370";48;"Peperomia+pellucida"
"ALCB002375";35;"Peperomia+loxensis"
"ALCB002376";59;"Peperomia+rotundifolia"
"ALCB002377";59;"Peperomia+rotundifolia"
"ALCB002378_1";59;"Peperomia+rotundifolia"
"ALCB002379";59;"Peperomia+rotundifolia"
"ALCB002380";59;"Peperomia+rotundifolia"
"ALCB002381";59;"Peperomia+rotundifolia"
"ALCB002382";60;"Peperomia+rubricaulis"
"ALCB002383";63;"Peperomia+serpens"
"ALCB002384";63;"Peperomia+serpens"
"ALCB002393";65;"Peperomia+sincorana"
"ALCB002394";65;"Peperomia+sincorana"
"ALCB002395";65;"Peperomia+sincorana"
"ALCB002396";65;"Peperomia+sincorana"
"ALCB002398";65;"Peperomia+sincorana"
"ALCB002400";65;"Peperomia+sincorana"
"ALCB002401";65;"Peperomia+sincorana"
"ALCB002405";65;"Peperomia+sincorana"
"ALCB002407";65;"Peperomia+sincorana"
"ALCB002408";69;"Peperomia+subrubricaulis"
"ALCB002409";73;"Peperomia+tetraphylla"
"ALCB002410";73;"Peperomia+tetraphylla"
"ALCB002414_1";73;"Peperomia+tetraphylla"
"ALCB002416_1";73;"Peperomia+tetraphylla"
"ALCB002417";73;"Peperomia+tetraphylla"
"ALCB002418";73;"Peperomia+tetraphylla"
"ALCB002428";73;"Peperomia+tetraphylla"
"ALCB002429";73;"Peperomia+tetraphylla"
"ALCB002430";73;"Peperomia+tetraphylla"
"ALCB002437";77;"Peperomia+urocarpa"
"ALCB002438";77;"Peperomia+urocarpa"
"ALCB002439";77;"Peperomia+urocarpa"
"ALCB002440";77;"Peperomia+urocarpa"
"ALCB002449";82;"Piper+aduncum"
"ALCB002452";82;"Piper+aduncum"
"ALCB002457";82;"Piper+aduncum"
"ALCB002468";82;"Piper+aduncum"
"ALCB002482";82;"Piper+aduncum"
"ALCB002483";82;"Piper+aduncum"
"ALCB002486";91;"Piper+anisum"
"ALCB002493";93;"Piper+arboreum"
"ALCB002496";93;"Piper+arboreum"
"ALCB002497_1";93;"Piper+arboreum"
"ALCB002501";93;"Piper+arboreum"
"ALCB002502";93;"Piper+arboreum"
"ALCB002504";93;"Piper+arboreum"
"ALCB002506";93;"Piper+arboreum"
"ALCB002508";93;"Piper+arboreum"
"ALCB002509";93;"Piper+arboreum"
"ALCB002510";93;"Piper+arboreum"
"ALCB002511";93;"Piper+arboreum"
"ALCB002512";93;"Piper+arboreum"
"ALCB002522";93;"Piper+arboreum"
"ALCB002524_1";93;"Piper+arboreum"
"ALCB002525";93;"Piper+arboreum"
"ALCB002527";93;"Piper+arboreum"
"ALCB002531";102;"Piper+caldense"
"ALCB002532";102;"Piper+caldense"
"ALCB002536";105;"Piper+cernuum"
"ALCB002538";105;"Piper+cernuum"
"ALCB002539";114;"Piper+crassinervium"
"ALCB002541";114;"Piper+crassinervium"
"ALCB002542";114;"Piper+crassinervium"
"ALCB002543";114;"Piper+crassinervium"
"ALCB002545";114;"Piper+crassinervium"
"ALCB002546";114;"Piper+crassinervium"
"ALCB002548";118;"Piper+cuyabanum"
"ALCB002550";122;"Piper+dilatatum"
"ALCB002553";122;"Piper+dilatatum"
"ALCB002554";122;"Piper+dilatatum"
"ALCB002555";122;"Piper+dilatatum"
"ALCB002556";122;"Piper+dilatatum"
"ALCB002566";124;"Piper+divaricatum"
"ALCB002568";124;"Piper+divaricatum"
"ALCB002571";124;"Piper+divaricatum"
"ALCB002572";124;"Piper+divaricatum"
"ALCB002575";124;"Piper+divaricatum"
"ALCB002577";124;"Piper+divaricatum"
"ALCB002578";124;"Piper+divaricatum"
"ALCB002579";124;"Piper+divaricatum"
"ALCB002581";139;"Piper+glabratum"
"ALCB002592";165;"Piper+limai"
"ALCB002594";223;"Piper+tectoniifolium"
"ALCB002595";223;"Piper+tectoniifolium"
"ALCB002596";223;"Piper+tectoniifolium"
"ALCB002597";226;"Piper+tuberculatum"
"ALCB002598";226;"Piper+tuberculatum"
