filename,fold,specific_epithet,min,herbaria,seq,county,state
ALCB002267,3,Peperomia+arifolia,5,ALCB,26137,Iretama,Paraná
ALCB002268,3,Peperomia+arifolia,5,ALCB,25557,Itagibá,Bahia
ALCB002269,3,Peperomia+arifolia,5,ALCB,25556,Itagibá,Bahia
ALCB002272,7,Peperomia+blanda,5,ALCB,25576,Lençóis,Bahia
ALCB002274,7,Peperomia+blanda,5,ALCB,26146,Reserva do Iguaçu,Paraná
ALCB002282_1,7,Peperomia+blanda,5,ALCB,25517,Lençóis,Bahia
ALCB002285,7,Peperomia+blanda,5,ALCB,26149,Tunas do Paraná,Paraná
ALCB002286,7,Peperomia+blanda,5,ALCB,25560,Lençóis,Bahia
ALCB002292,8,Peperomia+campinasana,5,ALCB,25578,Caetité,Bahia
ALCB002293,12,Peperomia+clivicola,5,ALCB,26130,Balsa Nova,Paraná
ALCB002295,13,Peperomia+corcovadensis,5,ALCB,25582,Miguel Calmon,Bahia
ALCB002298,25,Peperomia+galioides,5,ALCB,26123,Santa Rita do Sapucaí,Minas Gerais
ALCB002302,25,Peperomia+galioides,5,ALCB,25586,Lençóis,Bahia
ALCB002304,27,Peperomia+glabella,5,ALCB,25589,Jacobina,Bahia
ALCB002305,27,Peperomia+glabella,5,ALCB,25590,Conde,Bahia
ALCB002306,27,Peperomia+glabella,5,ALCB,25592,Itagibá,Bahia
ALCB002307,27,Peperomia+glabella,5,ALCB,25591,Miguel Calmon,Bahia
ALCB002308,27,Peperomia+glabella,5,ALCB,25588,Jacobina,Bahia
ALCB002313,39,Peperomia+magnoliifolia,5,ALCB,25598,Cairu,Bahia
ALCB002317,39,Peperomia+magnoliifolia,5,ALCB,25597,Cairu,Bahia
ALCB002318,39,Peperomia+magnoliifolia,5,ALCB,26068,Itamaraju,Bahia
ALCB002319,44,Peperomia+nitida,5,ALCB,25605,Lençóis,Bahia
ALCB002320,44,Peperomia+nitida,5,ALCB,25606,Lençóis,Bahia
ALCB002321,44,Peperomia+nitida,5,ALCB,25603,Lençóis,Bahia
ALCB002322,44,Peperomia+nitida,5,ALCB,25604,Palmeiras,Bahia
ALCB002325,45,Peperomia+obtusifolia,5,ALCB,25610,Arataca,Bahia
ALCB002327,45,Peperomia+obtusifolia,5,ALCB,25619,Cairu,Bahia
ALCB002328,45,Peperomia+obtusifolia,5,ALCB,25617,Lençóis,Bahia
ALCB002330,45,Peperomia+obtusifolia,5,ALCB,25612,Lençóis,Bahia
ALCB002331,45,Peperomia+obtusifolia,5,ALCB,25621,Lençóis,Bahia
ALCB002332,45,Peperomia+obtusifolia,5,ALCB,25613,Lençóis,Bahia
ALCB002333,45,Peperomia+obtusifolia,5,ALCB,25614,Lençóis,Bahia
ALCB002334,45,Peperomia+obtusifolia,5,ALCB,25615,Lençóis,Bahia
ALCB002335,45,Peperomia+obtusifolia,5,ALCB,25608,Lençóis,Bahia
ALCB002344_1,45,Peperomia+obtusifolia,5,ALCB,26076,Lençóis,Bahia
ALCB002345,45,Peperomia+obtusifolia,5,ALCB,25616,Lençóis,Bahia
ALCB002348,48,Peperomia+pellucida,5,ALCB,26117,Porto Estrela,Mato Grosso
ALCB002365,48,Peperomia+pellucida,5,ALCB,25625,Salvador,Bahia
ALCB002370,48,Peperomia+pellucida,5,ALCB,26037,Cachoeira,Bahia
ALCB002375,35,Peperomia+loxensis,5,ALCB,25594,Brotas,São Paulo
ALCB002376,59,Peperomia+rotundifolia,5,ALCB,25651,Amargosa,Bahia
ALCB002377,59,Peperomia+rotundifolia,5,ALCB,25647,Lençóis,Bahia
ALCB002378_1,59,Peperomia+rotundifolia,5,ALCB,25521,Ibirapitanga/Camamú/Maraú,Bahia
ALCB002379,59,Peperomia+rotundifolia,5,ALCB,25648,Ituberá,Bahia
ALCB002380,59,Peperomia+rotundifolia,5,ALCB,25652,Amargosa,Bahia
ALCB002381,59,Peperomia+rotundifolia,5,ALCB,25650,Wenceslau Guimarães,Bahia
ALCB002382,60,Peperomia+rubricaulis,5,ALCB,25653,Itagibá,Bahia
ALCB002383,63,Peperomia+serpens,5,ALCB,25522,Ibirapitanga/Camamú/Maraú,Bahia
ALCB002384,63,Peperomia+serpens,5,ALCB,25655,Ilhéus,Bahia
ALCB002393,65,Peperomia+sincorana,5,ALCB,25675,Abaíra,Bahia
ALCB002394,65,Peperomia+sincorana,5,ALCB,25665,Lençóis,Bahia
ALCB002395,65,Peperomia+sincorana,5,ALCB,25669,Morro do Chapéu,Bahia
ALCB002396,65,Peperomia+sincorana,5,ALCB,25663,Lençóis,Bahia
ALCB002398,65,Peperomia+sincorana,5,ALCB,25657,Palmeiras,Bahia
ALCB002400,65,Peperomia+sincorana,5,ALCB,25656,Lençóis,Bahia
