"filename";"fold";"specific_epithet"
"ALCB002267";2;"Peperomia+arifolia"
"ALCB002274";4;"Peperomia+blanda"
"ALCB002285";4;"Peperomia+blanda"
"ALCB002428";24;"Peperomia+tetraphylla"
"ALCB002437";27;"Peperomia+urocarpa"
"ALCB002439";27;"Peperomia+urocarpa"
"ALCB002468";28;"Piper+aduncum"
"ALCB002539";35;"Piper+crassinervium"
"ALCB002542";35;"Piper+crassinervium"
"ALCB002545";35;"Piper+crassinervium"
"ALCB002546";35;"Piper+crassinervium"
"ALCB002640";29;"Piper+amalago"
"ALCB002671";38;"Piper+gaudichaudianum"
"ALCB002678";39;"Piper+glabratum"
"CEN00016600";30;"Piper+amplum"
"CEN00016615";40;"Piper+grazielae"
"CEN00016620";1;"Peperomia+alata"
"CEN00026250";27;"Peperomia+urocarpa"
"CEN00027516";46;"Piper+mikanianum"
"CEN00027545";35;"Piper+crassinervium"
"CEN00029342";52;"Piper+solmsianum"
"CEN00029485";33;"Piper+caldense"
"CEN00029591";27;"Peperomia+urocarpa"
"CEN00041528";36;"Piper+dilatatum"
"CEN00041531";46;"Piper+mikanianum"
"CEN00041533";9;"Peperomia+galioides"
"CEN00041534";28;"Piper+aduncum"
"CEN00041536";42;"Piper+hispidum"
"CEN00041538";47;"Piper+miquelianum"
"CEN00041539";36;"Piper+dilatatum"
"CEN00041540";14;"Peperomia+martiana"
"CEN00041542";35;"Piper+crassinervium"
"CEN00041543";33;"Piper+caldense"
"CEN00041546";55;"Piper+xylosteoides"
"CEN00041548";28;"Piper+aduncum"
"CEN00041552";45;"Piper+malacophyllum"
"CEN00041553";55;"Piper+xylosteoides"
"CEN00041554";42;"Piper+hispidum"
"CEN00041556";4;"Peperomia+blanda"
"CEN00041559";27;"Peperomia+urocarpa"
"CEN00041560";10;"Peperomia+glabella"
"CEN00041561";7;"Peperomia+corcovadensis"
"CEN00041562";2;"Peperomia+arifolia"
"CEN00041564";52;"Piper+solmsianum"
"CEN00041567";27;"Peperomia+urocarpa"
"CEN00041571";27;"Peperomia+urocarpa"
"CEN00041572";45;"Piper+malacophyllum"
"CEN00041573";46;"Piper+mikanianum"
"CEN00041575";45;"Piper+malacophyllum"
