"filename";"fold";"specific_epithet"
"ALCB002548";8;"Piper+cuyabanum"
"ALCB002581";11;"Piper+glabratum"
"ALCB002597";16;"Piper+tuberculatum"
"ALCB002598";16;"Piper+tuberculatum"
"ALCB002651";5;"Piper+amalago"
"CBPM00000429";12;"Piper+hispidum"
"CEN00006433";6;"Piper+arboreum"
"CEN00007027";6;"Piper+arboreum"
"CEN00007209";6;"Piper+arboreum"
"CEN00007353";4;"Piper+aduncum"
"CEN00010383";10;"Piper+fuligineum"
"CEN00014230";8;"Piper+cuyabanum"
"CEN00014534";16;"Piper+tuberculatum"
"CEN00014541";4;"Piper+aduncum"
"CEN00014674";4;"Piper+aduncum"
"CEN00015373";14;"Piper+regnellii"
"CEN00015374";8;"Piper+cuyabanum"
"CEN00015451";10;"Piper+fuligineum"
"CEN00015597";8;"Piper+cuyabanum"
"CEN00015603";4;"Piper+aduncum"
"CEN00015764";14;"Piper+regnellii"
"CEN00016544";14;"Piper+regnellii"
"CEN00016587";6;"Piper+arboreum"
"CEN00016983";6;"Piper+arboreum"
"CEN00017265";12;"Piper+hispidum"
"CEN00017267";12;"Piper+hispidum"
"CEN00017405";4;"Piper+aduncum"
"CEN00017584";14;"Piper+regnellii"
"CEN00017585";12;"Piper+hispidum"
"CEN00017601";12;"Piper+hispidum"
"CEN00017635";14;"Piper+regnellii"
"CEN00018059";6;"Piper+arboreum"
"CEN00018370";15;"Piper+tectoniifolium"
"CEN00018371";6;"Piper+arboreum"
"CEN00018469";4;"Piper+aduncum"
"CEN00018476";6;"Piper+arboreum"
"CEN00019775_1";8;"Piper+cuyabanum"
"CEN00019881";12;"Piper+hispidum"
"CEN00019886_1";12;"Piper+hispidum"
"CEN00019891";6;"Piper+arboreum"
"CEN00019894";6;"Piper+arboreum"
"CEN00019920_1";6;"Piper+arboreum"
"CEN00020841";6;"Piper+arboreum"
"CEN00020850_1";4;"Piper+aduncum"
"CEN00020866";12;"Piper+hispidum"
"CEN00020913";6;"Piper+arboreum"
"CEN00020938";6;"Piper+arboreum"
"CEN00020950";6;"Piper+arboreum"
"CEN00021043";6;"Piper+arboreum"
"CEN00021065";12;"Piper+hispidum"
"CEN00021432";6;"Piper+arboreum"
"CEN00021433_1";8;"Piper+cuyabanum"
"CEN00021434";12;"Piper+hispidum"
"CEN00021453";6;"Piper+arboreum"
"CEN00022104";6;"Piper+arboreum"
"CEN00022683";6;"Piper+arboreum"
"CEN00022714";12;"Piper+hispidum"
"CEN00022769";9;"Piper+dilatatum"
"CEN00022778";8;"Piper+cuyabanum"
"CEN00022830";4;"Piper+aduncum"
"CEN00023787";4;"Piper+aduncum"
"CEN00023908";6;"Piper+arboreum"
"CEN00023956";1;"Peperomia+circinnata"
"CEN00023989";12;"Piper+hispidum"
"CEN00024191";16;"Piper+tuberculatum"
"CEN00024250";4;"Piper+aduncum"
"CEN00024322";12;"Piper+hispidum"
"CEN00024362";12;"Piper+hispidum"
"CEN00024374";4;"Piper+aduncum"
"CEN00024377";12;"Piper+hispidum"
"CEN00024386";12;"Piper+hispidum"
"CEN00024594";8;"Piper+cuyabanum"
"CEN00024636";4;"Piper+aduncum"
"CEN00024655";14;"Piper+regnellii"
"CEN00025211";4;"Piper+aduncum"
"CEN00026301";4;"Piper+aduncum"
"CEN00026663";13;"Piper+ovatum"
"CEN00026665";17;"Piper+xylosteoides"
"CEN00026700";6;"Piper+arboreum"
"CEN00026701";13;"Piper+ovatum"
"CEN00026744";13;"Piper+ovatum"
"CEN00026749";9;"Piper+dilatatum"
"CEN00026930";1;"Peperomia+circinnata"
"CEN00026952";10;"Piper+fuligineum"
"CEN00027605_1";13;"Piper+ovatum"
"CEN00027793";4;"Piper+aduncum"
"CEN00027820";4;"Piper+aduncum"
"CEN00027989";14;"Piper+regnellii"
"CEN00028421";12;"Piper+hispidum"
"CEN00028498_1";6;"Piper+arboreum"
"CEN00028537_1";4;"Piper+aduncum"
"CEN00029361";2;"Peperomia+elongata"
"CEN00029362";6;"Piper+arboreum"
"CEN00029363";12;"Piper+hispidum"
"CEN00029364";13;"Piper+ovatum"
"CEN00030640";2;"Peperomia+elongata"
"CEN00030760";9;"Piper+dilatatum"
"CEN00030761";9;"Piper+dilatatum"
"CEN00031336";6;"Piper+arboreum"
"CEN00031652";12;"Piper+hispidum"
"CEN00031964";9;"Piper+dilatatum"
