"filename";"fold";"specific_epithet"
"CEN00007865";32;"Piper+dilatatum"
"CEN00035982";26;"Piper+cernuum"
"CEN00036949";21;"Piper+bartlingianum"
"CEN00046200";32;"Piper+dilatatum"
"CEN00046201";32;"Piper+dilatatum"
"CEN00046556";41;"Piper+guianense"
"CEN00047106";67;"Piper+tuberculatum"
"CEN00050501";32;"Piper+dilatatum"
"CEN00052237";32;"Piper+dilatatum"
"CEN00059114";7;"Peperomia+pellucida"
"CEN00059117";42;"Piper+hispidum"
"CEN00059316";67;"Piper+tuberculatum"
"CEN00059318";48;"Piper+marginatum"
"CEN00059323";7;"Peperomia+pellucida"
"CEN00059501";63;"Piper+reticulatum"
"CEN00059504";67;"Piper+tuberculatum"
"CEN00059513";56;"Piper+peltatum"
"CEN00059519";48;"Piper+marginatum"
"CEN00061323";7;"Peperomia+pellucida"
"CEN00062751";67;"Piper+tuberculatum"
"CEN00062846";67;"Piper+tuberculatum"
"CEN00062958";67;"Piper+tuberculatum"
"CEN00062962";67;"Piper+tuberculatum"
"CEN00062972";32;"Piper+dilatatum"
"CEN00062973";67;"Piper+tuberculatum"
"CEN00066015";42;"Piper+hispidum"
"CEN00066738";48;"Piper+marginatum"
"CEN00066829";67;"Piper+tuberculatum"
"CEN00066836";48;"Piper+marginatum"
"CEN00067380";67;"Piper+tuberculatum"
"CEN00067658";67;"Piper+tuberculatum"
"CEN00068358";67;"Piper+tuberculatum"
"CEN00068432";32;"Piper+dilatatum"
"CEN00068436";32;"Piper+dilatatum"
"CEN00068638";24;"Piper+callosum"
"CEN00070167";32;"Piper+dilatatum"
"CEN00070207";42;"Piper+hispidum"
"CEN00071191";32;"Piper+dilatatum"
"CEN00071605";32;"Piper+dilatatum"
"CEN00072597";32;"Piper+dilatatum"
"CEN00073619";28;"Piper+coruscans"
"CEN00076576";56;"Piper+peltatum"
"CEN00079761";7;"Peperomia+pellucida"
"CEN00079777";48;"Piper+marginatum"
"CEN00080646";55;"Piper+pellitum"
"CEN00080771";21;"Piper+bartlingianum"
"CEN00080852";67;"Piper+tuberculatum"
"CEN00081696";18;"Piper+arboreum"
"CEN00081860";21;"Piper+bartlingianum"
"CEN00081964";43;"Piper+hostmannianum"
"CEN00081970";18;"Piper+arboreum"
"CEN00082550";21;"Piper+bartlingianum"
"CEN00083897";54;"Piper+ottonoides"
"CEN00084199";21;"Piper+bartlingianum"
"CEN00091238";67;"Piper+tuberculatum"
"CEN00091317";7;"Peperomia+pellucida"
"CEN00091348";67;"Piper+tuberculatum"
"CEN00093534";21;"Piper+bartlingianum"
"CEN00093598";56;"Piper+peltatum"
"CEN00094784";13;"Piper+aduncum"
"CEN00094895";13;"Piper+aduncum"
"CEN00099386";67;"Piper+tuberculatum"
"CEN00111826";18;"Piper+arboreum"
"CEN00116460";32;"Piper+dilatatum"
"ESA090233";67;"Piper+tuberculatum"
"FURB02974";5;"Peperomia+magnoliifolia"
"HBRA0003163";43;"Piper+hostmannianum"
"HBRA0003184";43;"Piper+hostmannianum"
"HSTM000069";43;"Piper+hostmannianum"
"HSTM000070_1";42;"Piper+hispidum"
"HSTM000348";18;"Piper+arboreum"
"HSTM000499_1";42;"Piper+hispidum"
"HSTM001593";35;"Piper+durilignum"
"HSTM002158";43;"Piper+hostmannianum"
