filename,fold,specific_epithet,min,herbaria,seq,county,state
CEN00007865,51,Piper+dilatatum,5,CEN,12741,TOCANTINOPOLIS,TO
CEN00035982,40,Piper+cernuum,5,CEN,11989,XAPURI,AC
CEN00036949,34,Piper+bartlingianum,5,CEN,11972,TEFE,AM
CEN00046200,51,Piper+dilatatum,5,CEN,12740,SAO SALVADOR DO TOCANTINS,TO
CEN00046201,51,Piper+dilatatum,5,CEN,12721,PALMEIROPOLIS,TO
CEN00046556,64,Piper+guianense,5,CEN,12696,LAGOA DA CONFUSAO,TO
CEN00047106,103,Piper+tuberculatum,5,CEN,12170,AURORA DO TOCANTINS,TO
CEN00050501,51,Piper+dilatatum,5,CEN,12730,PARANA,TO
CEN00052237,51,Piper+dilatatum,5,CEN,12691,DIANOPOLIS,TO
CEN00059114,13,Peperomia+pellucida,5,CEN,12535,PALESTINA DO PARA,PA
CEN00059117,67,Piper+hispidum,5,CEN,12534,PALESTINA DO PARA,PA
CEN00059316,103,Piper+tuberculatum,5,CEN,12671,ANANAS,TO
CEN00059318,77,Piper+marginatum,5,CEN,12674,ANANAS,TO
CEN00059323,13,Peperomia+pellucida,5,CEN,12673,ANANAS,TO
CEN00059501,95,Piper+reticulatum,5,CEN,12538,PALESTINA DO PARA,PA
CEN00059504,103,Piper+tuberculatum,5,CEN,12541,PALESTINA DO PARA,PA
CEN00059513,87,Piper+peltatum,5,CEN,12540,PALESTINA DO PARA,PA
CEN00059519,77,Piper+marginatum,5,CEN,12539,PALESTINA DO PARA,PA
CEN00061323,13,Peperomia+pellucida,5,CEN,12731,PARANA,TO
CEN00062751,103,Piper+tuberculatum,5,CEN,12725,PARANA,TO
CEN00062846,103,Piper+tuberculatum,5,CEN,12728,PARANA,TO
CEN00062958,103,Piper+tuberculatum,5,CEN,12736,SAO SALVADOR DO TOCANTINS,TO
CEN00062962,103,Piper+tuberculatum,5,CEN,12719,PALMEIROPOLIS,TO
CEN00062972,51,Piper+dilatatum,5,CEN,12710,PALMEIROPOLIS,TO
CEN00062973,103,Piper+tuberculatum,5,CEN,12711,PALMEIROPOLIS,TO
CEN00066015,67,Piper+hispidum,5,CEN,12083,GOIATINS,TO
CEN00066738,77,Piper+marginatum,5,CEN,12685,DARCINOPOLIS,TO
CEN00066829,103,Piper+tuberculatum,5,CEN,12695,FILADELFIA,TO
CEN00066836,77,Piper+marginatum,5,CEN,12694,FILADELFIA,TO
CEN00067380,103,Piper+tuberculatum,5,CEN,12718,PALMEIROPOLIS,TO
CEN00067658,103,Piper+tuberculatum,5,CEN,12739,SAO SALVADOR DO TOCANTINS,TO
CEN00068333,2,Peperomia+circinnata,5,CEN,12681,BARRA DO OURO,TO
CEN00068358,103,Piper+tuberculatum,5,CEN,12705,PALMEIRANTE,TO
CEN00068432,51,Piper+dilatatum,5,CEN,12727,PARANA,TO
CEN00068436,51,Piper+dilatatum,5,CEN,12729,PARANA,TO
CEN00068638,38,Piper+callosum,5,CEN,11358,SANTANA,AP
CEN00070167,51,Piper+dilatatum,5,CEN,12592,PORTO VELHO,RO
CEN00070207,67,Piper+hispidum,5,CEN,12603,PORTO VELHO,RO
CEN00071191,51,Piper+dilatatum,5,CEN,12722,PARANA,TO
CEN00071605,51,Piper+dilatatum,5,CEN,12712,PALMEIROPOLIS,TO
CEN00071938,79,Piper+mollicomum,5,CEN,12670,ALMAS,TO
CEN00072597,51,Piper+dilatatum,5,CEN,12715,PALMEIROPOLIS,TO
CEN00073619,45,Piper+coruscans,5,CEN,12610,PORTO VELHO,RO
CEN00076576,87,Piper+peltatum,5,CEN,12625,PORTO VELHO,RO
CEN00079761,13,Peperomia+pellucida,5,CEN,12675,ARAGUACEMA,TO
CEN00079777,77,Piper+marginatum,5,CEN,12676,ARAGUAINA,TO
CEN00080646,86,Piper+pellitum,5,CEN,12579,PORTO VELHO,RO
CEN00080771,34,Piper+bartlingianum,5,CEN,12581,PORTO VELHO,RO
CEN00080852,103,Piper+tuberculatum,5,CEN,12607,PORTO VELHO,RO
CEN00081696,31,Piper+arboreum,5,CEN,12575,PORTO VELHO,RO
CEN00081860,34,Piper+bartlingianum,5,CEN,12605,PORTO VELHO,RO
CEN00081964,68,Piper+hostmannianum,5,CEN,12595,PORTO VELHO,RO
CEN00081970,31,Piper+arboreum,5,CEN,12594,PORTO VELHO,RO
CEN00082550,34,Piper+bartlingianum,5,CEN,12590,PORTO VELHO,RO
CEN00083853,24,Piper+aequale,5,CEN,12577,PORTO VELHO,RO
CEN00083897,85,Piper+ottonoides,5,CEN,12587,PORTO VELHO,RO
CEN00084199,34,Piper+bartlingianum,5,CEN,12620,PORTO VELHO,RO
CEN00085578,79,Piper+mollicomum,5,CEN,12704,NATIVIDADE,TO
CEN00091238,103,Piper+tuberculatum,5,CEN,12686,DARCINOPOLIS,TO
CEN00091317,13,Peperomia+pellucida,5,CEN,12678,BABACULANDIA,TO
CEN00091348,103,Piper+tuberculatum,5,CEN,12679,BABACULANDIA,TO
CEN00093534,34,Piper+bartlingianum,5,CEN,12599,PORTO VELHO,RO
CEN00093536,65,Piper+gurupanum,5,CEN,12598,PORTO VELHO,RO
CEN00093598,87,Piper+peltatum,5,CEN,12600,PORTO VELHO,RO
CEN00094784,23,Piper+aduncum,5,CEN,12586,PORTO VELHO,RO
CEN00094895,23,Piper+aduncum,5,CEN,11893,PORTO VELHO,RO
CEN00099386,103,Piper+tuberculatum,5,CEN,12707,PALMEIRAS DO TOCANTINS,TO
CEN00111826,31,Piper+arboreum,5,CEN,12532,ALTAMIRA,PA
CEN00116460,51,Piper+dilatatum,5,CEN,12735,SANTA ROSA DO TOCANTINS,TO
ESA090233,103,Piper+tuberculatum,5,ESA,23682,Lavandeira,Tocantins
FURB02974,10,Peperomia+magnoliifolia,5,FURB,41469,Tartarugalzinho,Amapá
HBRA0003163,68,Piper+hostmannianum,5,HBRA,6730,Bragança,Pará
HBRA0003184,68,Piper+hostmannianum,5,HBRA,6729,Bragança,Pará
HSTM000069,68,Piper+hostmannianum,5,HSTM,24135,Belterra,Pará
HSTM000070_1,67,Piper+hispidum,5,HSTM,24161,Belterra,Pará
HSTM000348,31,Piper+arboreum,5,HSTM,24089,Itaituba,Pará
HSTM000499_1,67,Piper+hispidum,5,HSTM,24105,Santarém,Pará
HSTM001593,55,Piper+durilignum,5,HSTM,24050,Belterra,Pará
HSTM002158,68,Piper+hostmannianum,5,HSTM,24077,Santarém,Pará
HSTM002574,87,Piper+peltatum,5,HSTM,24099,Santarém,Pará
HSTM002652,103,Piper+tuberculatum,5,HSTM,24072,Santarém,Pará
HSTM003020,55,Piper+durilignum,5,HSTM,24058,Belterra,Pará
HSTM004993,67,Piper+hispidum,5,HSTM,24076,Rurópolis,Pará
HSTM007405,55,Piper+durilignum,5,HSTM,24112,Oriximiná,Pará
HSTM007418,77,Piper+marginatum,5,HSTM,24139,Santarém,Pará
HSTM007419,55,Piper+durilignum,5,HSTM,24138,Belterra,Pará
HSTM008016_1,68,Piper+hostmannianum,5,HSTM,24060,Belterra,Pará
HSTM008017,38,Piper+callosum,5,HSTM,24086,Santarém,Pará
HSTM008224,67,Piper+hispidum,5,HSTM,24154,Belterra,Pará
HSTM008454_1,68,Piper+hostmannianum,5,HSTM,24104,Belterra,Pará
HSTM008572_1,68,Piper+hostmannianum,5,HSTM,24091,Belterra,Pará
HSTM009046,87,Piper+peltatum,5,HSTM,24053,Belterra,Pará
HSTM009447,67,Piper+hispidum,5,HSTM,24152,Itaituba,Pará
HSTM010632,87,Piper+peltatum,5,HSTM,24059,Belterra,Pará
HSTM012138,55,Piper+durilignum,5,HSTM,24051,Placas,Pará
HSTM012463,67,Piper+hispidum,5,HSTM,24103,Rurópolis,Pará
HSTM013393,90,Piper+plurinervosum,5,HSTM,24133,Belterra,Pará
HSTM014206,75,Piper+madeiranum,5,HSTM,24057,Canutama,Amazonas
HUEFS0045795,51,Piper+dilatatum,5,HUEFS,22298,Buriti do Tocantins,Tocantins
HUEFS0147967,10,Peperomia+magnoliifolia,5,HUEFS,22307,Peixe-Boi,Pará
HUEFS0147970,40,Piper+cernuum,5,HUEFS,21851,,Pará
HUEFS0200017_e1,31,Piper+arboreum,5,HUEFS,21828,Porto Velho,Rondônia
HUFU00019912,103,Piper+tuberculatum,5,HUFU,54904,Tefé,Amazonas
IAN000048_e1,103,Piper+tuberculatum,5,IAN,14137,São Miguel do Guamá,Pará
IAN010451_e1,95,Piper+reticulatum,5,IAN,13897,Esperança,Amazonas
IAN011264_e1,39,Piper+carniconnectivum,5,IAN,14036,Belém,Pará
IAN011429,13,Peperomia+pellucida,5,IAN,14068,Belém,Pará
IAN011837,97,Piper+schwackei,5,IAN,14124,Belém,Pará
IAN011975_e1,8,Peperomia+macrostachya,5,IAN,14146,Belém,Pará
IAN012173_e1,31,Piper+arboreum,5,IAN,14145,Belém,Pará
IAN013002_e1,31,Piper+arboreum,5,IAN,14126,Belém,Pará
IAN013156_e1,39,Piper+carniconnectivum,5,IAN,14129,Belém,Pará
IAN013188,48,Piper+cyrtopodon,5,IAN,14125,Belém,Pará
IAN013434_e1,85,Piper+ottonoides,5,IAN,13843,,Pará
IAN016642,20,Peperomia+uaupesensis,5,IAN,13530,Jauareté,Amazonas
IAN017027_1,67,Piper+hispidum,5,IAN,14085,Belém,Pará
IAN017028_1,39,Piper+carniconnectivum,5,IAN,14084,Belém,Pará
IAN017057_1,8,Peperomia+macrostachya,5,IAN,14043,Belém,Pará
IAN017523_1,13,Peperomia+pellucida,5,IAN,14042,Belém,Pará
IAN017639_1,16,Peperomia+rotundifolia,5,IAN,14105,Belém,Pará
IAN017768_1,67,Piper+hispidum,5,IAN,14073,Belém,Pará
IAN017772_1,68,Piper+hostmannianum,5,IAN,14086,Belém,Pará
IAN017791_1,17,Peperomia+serpens,5,IAN,14056,Belém,Pará
IAN017809,48,Piper+cyrtopodon,5,IAN,14025,Belém,Pará
IAN017901_1,22,Peperomia+victoriana,5,IAN,14023,Tabatinga,Amazonas
IAN017947_1,31,Piper+arboreum,5,IAN,14155,Tabatinga,Amazonas
IAN017962_1,13,Peperomia+pellucida,5,IAN,14159,Benjamin Constant,Amazonas
IAN018015_1,16,Peperomia+rotundifolia,5,IAN,13521,Esperança,Amazonas
IAN018067_1,56,Piper+enckea,5,IAN,13701,Esperança,Amazonas
IAN020049_1,34,Piper+bartlingianum,5,IAN,14109,Maués,Amazonas
IAN020050_1,48,Piper+cyrtopodon,5,IAN,14110,Maués,Amazonas
IAN028521_1,31,Piper+arboreum,5,IAN,14139,São Gabriel da Cachoeira,Amazonas
IAN029430_1,51,Piper+dilatatum,5,IAN,14058,Belterra,Pará
