filename,fold,specific_epithet,min,herbaria,seq,county,state
ALCB002272,2,Peperomia+blanda,5,ALCB,25576,Lençóis,Bahia
ALCB002282_1,2,Peperomia+blanda,5,ALCB,25517,Lençóis,Bahia
ALCB002286,2,Peperomia+blanda,5,ALCB,25560,Lençóis,Bahia
ALCB002292,3,Peperomia+campinasana,5,ALCB,25578,Caetité,Bahia
ALCB002295,5,Peperomia+corcovadensis,5,ALCB,25582,Miguel Calmon,Bahia
ALCB002302,6,Peperomia+galioides,5,ALCB,25586,Lençóis,Bahia
ALCB002304,7,Peperomia+glabella,5,ALCB,25589,Jacobina,Bahia
ALCB002305,7,Peperomia+glabella,5,ALCB,25590,Conde,Bahia
ALCB002306,7,Peperomia+glabella,5,ALCB,25592,Itagibá,Bahia
ALCB002307,7,Peperomia+glabella,5,ALCB,25591,Miguel Calmon,Bahia
ALCB002308,7,Peperomia+glabella,5,ALCB,25588,Jacobina,Bahia
ALCB002313,9,Peperomia+magnoliifolia,5,ALCB,25598,Cairu,Bahia
ALCB002317,9,Peperomia+magnoliifolia,5,ALCB,25597,Cairu,Bahia
ALCB002318,9,Peperomia+magnoliifolia,5,ALCB,26068,Itamaraju,Bahia
ALCB002319,10,Peperomia+nitida,5,ALCB,25605,Lençóis,Bahia
ALCB002320,10,Peperomia+nitida,5,ALCB,25606,Lençóis,Bahia
ALCB002321,10,Peperomia+nitida,5,ALCB,25603,Lençóis,Bahia
ALCB002322,10,Peperomia+nitida,5,ALCB,25604,Palmeiras,Bahia
ALCB002325,11,Peperomia+obtusifolia,5,ALCB,25610,Arataca,Bahia
ALCB002327,11,Peperomia+obtusifolia,5,ALCB,25619,Cairu,Bahia
ALCB002328,11,Peperomia+obtusifolia,5,ALCB,25617,Lençóis,Bahia
ALCB002330,11,Peperomia+obtusifolia,5,ALCB,25612,Lençóis,Bahia
ALCB002331,11,Peperomia+obtusifolia,5,ALCB,25621,Lençóis,Bahia
ALCB002332,11,Peperomia+obtusifolia,5,ALCB,25613,Lençóis,Bahia
ALCB002333,11,Peperomia+obtusifolia,5,ALCB,25614,Lençóis,Bahia
ALCB002334,11,Peperomia+obtusifolia,5,ALCB,25615,Lençóis,Bahia
ALCB002335,11,Peperomia+obtusifolia,5,ALCB,25608,Lençóis,Bahia
ALCB002344_1,11,Peperomia+obtusifolia,5,ALCB,26076,Lençóis,Bahia
ALCB002345,11,Peperomia+obtusifolia,5,ALCB,25616,Lençóis,Bahia
ALCB002365,13,Peperomia+pellucida,5,ALCB,25625,Salvador,Bahia
ALCB002370,13,Peperomia+pellucida,5,ALCB,26037,Cachoeira,Bahia
ALCB002376,14,Peperomia+rotundifolia,5,ALCB,25651,Amargosa,Bahia
ALCB002377,14,Peperomia+rotundifolia,5,ALCB,25647,Lençóis,Bahia
ALCB002378_1,14,Peperomia+rotundifolia,5,ALCB,25521,Ibirapitanga/Camamú/Maraú,Bahia
ALCB002379,14,Peperomia+rotundifolia,5,ALCB,25648,Ituberá,Bahia
ALCB002380,14,Peperomia+rotundifolia,5,ALCB,25652,Amargosa,Bahia
ALCB002381,14,Peperomia+rotundifolia,5,ALCB,25650,Wenceslau Guimarães,Bahia
ALCB002383,15,Peperomia+serpens,5,ALCB,25522,Ibirapitanga/Camamú/Maraú,Bahia
ALCB002384,15,Peperomia+serpens,5,ALCB,25655,Ilhéus,Bahia
ALCB002393,16,Peperomia+sincorana,5,ALCB,25675,Abaíra,Bahia
ALCB002394,16,Peperomia+sincorana,5,ALCB,25665,Lençóis,Bahia
ALCB002395,16,Peperomia+sincorana,5,ALCB,25669,Morro do Chapéu,Bahia
ALCB002396,16,Peperomia+sincorana,5,ALCB,25663,Lençóis,Bahia
ALCB002398,16,Peperomia+sincorana,5,ALCB,25657,Palmeiras,Bahia
ALCB002400,16,Peperomia+sincorana,5,ALCB,25656,Lençóis,Bahia
ALCB002401,16,Peperomia+sincorana,5,ALCB,25674,Abaíra,Bahia
ALCB002405,16,Peperomia+sincorana,5,ALCB,25673,Morro do Chapéu,Bahia
ALCB002407,16,Peperomia+sincorana,5,ALCB,25662,Lençóis,Bahia
ALCB002409,17,Peperomia+tetraphylla,5,ALCB,25697,Palmeiras,Bahia
ALCB002410,17,Peperomia+tetraphylla,5,ALCB,25694,Morro do Chapéu,Bahia
ALCB002414_1,17,Peperomia+tetraphylla,5,ALCB,25678,Morro do Chapéu,Bahia
ALCB002416_1,17,Peperomia+tetraphylla,5,ALCB,25688,Palmeiras,Bahia
ALCB002417,17,Peperomia+tetraphylla,5,ALCB,25686,Lençóis,Bahia
ALCB002418,17,Peperomia+tetraphylla,5,ALCB,25687,Morro do Chapéu,Bahia
ALCB002429,17,Peperomia+tetraphylla,5,ALCB,25698,Palmeiras,Bahia
ALCB002438,18,Peperomia+urocarpa,5,ALCB,25704,Lençóis,Bahia
ALCB002440,18,Peperomia+urocarpa,5,ALCB,25705,Lençóis,Bahia
ALCB002449,19,Piper+aduncum,5,ALCB,25806,Simões Filho,Bahia
ALCB002452,19,Piper+aduncum,5,ALCB,25768,Salvador,Bahia
ALCB002482,19,Piper+aduncum,5,ALCB,25788,Salvador,Bahia
ALCB002483,19,Piper+aduncum,5,ALCB,26062,Ilhéus,Bahia
ALCB002493,24,Piper+arboreum,5,ALCB,25893,Miguel Calmon,Bahia
ALCB002497_1,24,Piper+arboreum,5,ALCB,25869,Andaraí,Bahia
ALCB002501,24,Piper+arboreum,5,ALCB,25886,Cairu,Bahia
ALCB002502,24,Piper+arboreum,5,ALCB,25520,Aurélio Leal,Bahia
ALCB002504,24,Piper+arboreum,5,ALCB,25889,Ilhéus,Bahia
ALCB002506,24,Piper+arboreum,5,ALCB,25873,Andaraí,Bahia
ALCB002508,24,Piper+arboreum,5,ALCB,25865,Ilhéus,Bahia
ALCB002509,24,Piper+arboreum,5,ALCB,26104,Simões Filho,Bahia
ALCB002510,24,Piper+arboreum,5,ALCB,25519,Caravelas,Bahia
ALCB002512,24,Piper+arboreum,5,ALCB,25891,Una,Bahia
ALCB002522,24,Piper+arboreum,5,ALCB,25875,Prado,Bahia
ALCB002524_1,24,Piper+arboreum,5,ALCB,25896,Ibicoara,Bahia
ALCB002525,24,Piper+arboreum,5,ALCB,25888,Miguel Calmon,Bahia
ALCB002527,24,Piper+arboreum,5,ALCB,25885,Ilhéus,Bahia
ALCB002531,25,Piper+caldense,5,ALCB,25906,Cairu,Bahia
ALCB002532,25,Piper+caldense,5,ALCB,25907,Ilhéus,Bahia
ALCB002536,26,Piper+cernuum,5,ALCB,25914,Lençóis,Bahia
ALCB002538,26,Piper+cernuum,5,ALCB,25908,Lençóis,Bahia
ALCB002543,27,Piper+crassinervium,5,ALCB,25913,Ituberá/Grapiúna,Bahia
ALCB002550,28,Piper+dilatatum,5,ALCB,25811,Salvador,Bahia
ALCB002553,28,Piper+dilatatum,5,ALCB,25899,Ilhéus,Bahia
ALCB002554,28,Piper+dilatatum,5,ALCB,25922,Ilhéus,Bahia
ALCB002555,28,Piper+dilatatum,5,ALCB,25921,Ilhéus,Bahia
ALCB002556,28,Piper+dilatatum,5,ALCB,25845,,Bahia
ALCB002566,29,Piper+divaricatum,5,ALCB,25928,Itaparica,Bahia
ALCB002568,29,Piper+divaricatum,5,ALCB,25951,Itanagra,Bahia
ALCB002571,29,Piper+divaricatum,5,ALCB,25940,Cruz das Almas,Bahia
ALCB002572,29,Piper+divaricatum,5,ALCB,25927,Salvador,Bahia
ALCB002575,29,Piper+divaricatum,5,ALCB,25952,Ilhéus,Bahia
ALCB002577,29,Piper+divaricatum,5,ALCB,25924,Salvador,Bahia
ALCB002578,29,Piper+divaricatum,5,ALCB,25925,Salvador,Bahia
ALCB002579,29,Piper+divaricatum,5,ALCB,25926,Salvador,Bahia
ALCB002592,38,Piper+limai,5,ALCB,25999,,Bahia
ALCB002594,44,Piper+tectoniifolium,5,ALCB,26015,Lençóis,Bahia
ALCB002595,44,Piper+tectoniifolium,5,ALCB,26012,Lençóis,Bahia
ALCB002596,44,Piper+tectoniifolium,5,ALCB,26014,Lençóis,Bahia
ALCB002601,45,Piper+tuberculatum,5,ALCB,26061,Ilhéus,Bahia
ALCB002602,45,Piper+tuberculatum,5,ALCB,26019,Palmerais,Piauí
ALCB002606,47,Piper+umbellatum,5,ALCB,26084,Salvador,Bahia
ALCB002623,19,Piper+aduncum,5,ALCB,25807,Salvador,Bahia
ALCB002627,19,Piper+aduncum,5,ALCB,25787,Salvador,Bahia
ALCB002629,19,Piper+aduncum,5,ALCB,25706,Salvador,Bahia
ALCB002634,20,Piper+amalago,5,ALCB,25851,Cachoeira,Bahia
ALCB002635,20,Piper+amalago,5,ALCB,25829,Feira de Santana,Bahia
ALCB002639,20,Piper+amalago,5,ALCB,26085,Salvador,Bahia
ALCB002641,20,Piper+amalago,5,ALCB,25830,Feira de Santana,Bahia
ALCB002644,20,Piper+amalago,5,ALCB,25836,Cachoeira,Bahia
ALCB002645,20,Piper+amalago,5,ALCB,25835,Cachoeira,Bahia
ALCB002646,20,Piper+amalago,5,ALCB,25852,Cachoeira,Bahia
ALCB002648,20,Piper+amalago,5,ALCB,25821,Salvador,Bahia
ALCB002649,20,Piper+amalago,5,ALCB,25820,Cachoeira,Bahia
ALCB002653,20,Piper+amalago,5,ALCB,25831,Caravelas,Bahia
ALCB002654,20,Piper+amalago,5,ALCB,25822,Lençóis,Bahia
ALCB002655,20,Piper+amalago,5,ALCB,26065,Itaberaba,Bahia
ALCB002662,22,Piper+anisum,5,ALCB,25844,Itacaré,Bahia
ALCB002665,30,Piper+fuligineum,5,ALCB,26157,Jaborandi,Bahia
ALCB002666,42,Piper+ovatum,5,ALCB,25967,Cruz das Almas,Bahia
ALCB002673,31,Piper+gaudichaudianum,5,ALCB,25968,Ilhéus,Bahia
ALCB002674,31,Piper+gaudichaudianum,5,ALCB,26156,Santa Cruz Cabrália,Bahia
ALCB002684,34,Piper+hispidum,5,ALCB,26045,Conde,Bahia
ALCB002685,34,Piper+hispidum,5,ALCB,26070,Itaparica,Bahia
