"filename";"fold";"specific_epithet"
"ALCB002267";2;"Peperomia+arifolia"
"ALCB002274";4;"Peperomia+blanda"
"ALCB002285";4;"Peperomia+blanda"
"ALCB002428";20;"Peperomia+tetraphylla"
"ALCB002430";20;"Peperomia+tetraphylla"
"ALCB002437";23;"Peperomia+urocarpa"
"ALCB002439";23;"Peperomia+urocarpa"
"ALCB002457";24;"Piper+aduncum"
"ALCB002468";24;"Piper+aduncum"
"ALCB002539";30;"Piper+crassinervium"
"ALCB002542";30;"Piper+crassinervium"
"ALCB002545";30;"Piper+crassinervium"
"ALCB002546";30;"Piper+crassinervium"
"ALCB002640";25;"Piper+amalago"
"ALCB002656";26;"Piper+amplum"
"ALCB002671";33;"Piper+gaudichaudianum"
"ALCB002678";34;"Piper+glabratum"
"CEN00016600";26;"Piper+amplum"
"CEN00016615";35;"Piper+grazielae"
"CEN00016620";1;"Peperomia+alata"
"CEN00026250";23;"Peperomia+urocarpa"
"CEN00027516";38;"Piper+mikanianum"
"CEN00027545";30;"Piper+crassinervium"
"CEN00029342";46;"Piper+solmsianum"
"CEN00029485";28;"Piper+caldense"
"CEN00029591";23;"Peperomia+urocarpa"
"CEN00041528";31;"Piper+dilatatum"
"CEN00041531";38;"Piper+mikanianum"
"CEN00041533";8;"Peperomia+galioides"
"CEN00041534";24;"Piper+aduncum"
"CEN00041536";36;"Piper+hispidum"
"CEN00041538";39;"Piper+miquelianum"
"CEN00041539";31;"Piper+dilatatum"
"CEN00041540";13;"Peperomia+martiana"
"CEN00041542";30;"Piper+crassinervium"
"CEN00041543";28;"Piper+caldense"
"CEN00041546";49;"Piper+xylosteoides"
"CEN00041548";24;"Piper+aduncum"
"CEN00041552";37;"Piper+malacophyllum"
"CEN00041553";49;"Piper+xylosteoides"
"CEN00041554";36;"Piper+hispidum"
"CEN00041556";4;"Peperomia+blanda"
"CEN00041559";23;"Peperomia+urocarpa"
"CEN00041560";9;"Peperomia+glabella"
"CEN00041561";7;"Peperomia+corcovadensis"
"CEN00041562";2;"Peperomia+arifolia"
"CEN00041564";46;"Piper+solmsianum"
"CEN00041567";23;"Peperomia+urocarpa"
"CEN00041568";8;"Peperomia+galioides"
