filename,fold,specific_epithet,min,herbaria,seq,county,state
ALCB002267,3,Peperomia+arifolia,5,ALCB,26137,Iretama,Paraná
ALCB002274,5,Peperomia+blanda,5,ALCB,26146,Reserva do Iguaçu,Paraná
ALCB002285,5,Peperomia+blanda,5,ALCB,26149,Tunas do Paraná,Paraná
ALCB002428,34,Peperomia+tetraphylla,5,ALCB,26143,Ponta Grossa,Paraná
ALCB002430,34,Peperomia+tetraphylla,5,ALCB,25701,Gramado,Rio Grande do Sul
ALCB002437,37,Peperomia+urocarpa,5,ALCB,26145,Reserva do Iguaçu,Paraná
ALCB002439,37,Peperomia+urocarpa,5,ALCB,26144,Quatro Barras,Paraná
ALCB002457,39,Piper+aduncum,5,ALCB,26153,Araquari,Santa Catarina
ALCB002468,39,Piper+aduncum,5,ALCB,26142,Paranaguá,Paraná
ALCB002539,47,Piper+crassinervium,5,ALCB,26128,Adrianópolis,Paraná
ALCB002542,47,Piper+crassinervium,5,ALCB,26131,Cerro Azul,Paraná
ALCB002545,47,Piper+crassinervium,5,ALCB,25919,Paranaguá,Paraná
ALCB002546,47,Piper+crassinervium,5,ALCB,26141,Maringá,Paraná
ALCB002640,41,Piper+amalago,5,ALCB,26140,Maringá,Paraná
ALCB002656,42,Piper+amplum,5,ALCB,26154,Garuva,Santa Catarina
ALCB002671,51,Piper+gaudichaudianum,5,ALCB,26136,Guaratuba,Paraná
ALCB002678,52,Piper+glabratum,5,ALCB,26139,Jundiaí do Sul,Paraná
CEN00016600,42,Piper+amplum,5,CEN,11913,GUARAQUECABA,PR
CEN00016615,53,Piper+grazielae,5,CEN,12004,JUNDIAI DO SUL,PR
CEN00016620,2,Peperomia+alata,5,CEN,11697,MORRETES,PR
CEN00026250,37,Peperomia+urocarpa,5,CEN,11694,SAO JOSE DOS PINHAIS,PR
CEN00027516,60,Piper+mikanianum,5,CEN,12099,PALMAS,PR
CEN00027539,22,Peperomia+obtusifolia,5,CEN,11782,GUARATUBA,PR
CEN00027545,47,Piper+crassinervium,5,CEN,11362,LONDRINA,PR
CEN00027569,9,Peperomia+delicatula,5,CEN,11744,QUEDAS DO IGUACU,PR
CEN00029342,69,Piper+solmsianum,5,CEN,11399,GUARATUBA,PR
CEN00029485,45,Piper+caldense,5,CEN,11977,GUARATUBA,PR
CEN00029591,37,Peperomia+urocarpa,5,CEN,11277,GUARATUBA,PR
CEN00041528,48,Piper+dilatatum,5,CEN,12028,CAMPINA GRANDE DO SUL,PR
CEN00041531,60,Piper+mikanianum,5,CEN,12100,CURITIBA,PR
CEN00041533,11,Peperomia+galioides,5,CEN,11752,CAMPINA GRANDE DO SUL,PR
CEN00041534,39,Piper+aduncum,5,CEN,11856,GUARATUBA,PR
CEN00041536,55,Piper+hispidum,5,CEN,12074,CURITIBA,PR
CEN00041538,61,Piper+miquelianum,5,CEN,12105,DIAMANTE DO NORTE,PR
CEN00041539,48,Piper+dilatatum,5,CEN,12029,FENIX,PR
CEN00041540,19,Peperomia+martiana,5,CEN,11779,CAMPINA GRANDE DO SUL,PR
CEN00041542,47,Piper+crassinervium,5,CEN,12007,PARANAGUA,PR
CEN00041543,45,Piper+caldense,5,CEN,11979,MORRETES,PR
CEN00041546,72,Piper+xylosteoides,5,CEN,11412,PIRAQUARA,PR
CEN00041548,39,Piper+aduncum,5,CEN,11857,MORRETES,PR
CEN00041552,59,Piper+malacophyllum,5,CEN,12087,PIRAI DO SUL,PR
CEN00041553,72,Piper+xylosteoides,5,CEN,11413,ADRIANOPOLIS,PR
CEN00041554,55,Piper+hispidum,5,CEN,12075,GUARATUBA,PR
CEN00041556,5,Peperomia+blanda,5,CEN,11716,GUARAPUAVA,PR
CEN00041559,37,Peperomia+urocarpa,5,CEN,11331,FOZ DO IGUACU,PR
CEN00041560,12,Peperomia+glabella,5,CEN,11291,MORRETES,PR
CEN00041561,8,Peperomia+corcovadensis,5,CEN,11736,MORRETES,PR
CEN00041562,3,Peperomia+arifolia,5,CEN,11709,IRETAMA,PR
CEN00041564,69,Piper+solmsianum,5,CEN,11401,PARANAGUA,PR
CEN00041567,37,Peperomia+urocarpa,5,CEN,11808,ANTONINA,PR
CEN00041568,11,Peperomia+galioides,5,CEN,11753,URUBICI,SC
CEN00041571,37,Peperomia+urocarpa,5,CEN,11791,JUNDIAI DO SUL,PR
CEN00041572,59,Piper+malacophyllum,5,CEN,12094,NOVA TEBAS,PR
CEN00041573,60,Piper+mikanianum,5,CEN,12101,NOVA TEBAS,PR
CEN00041575,59,Piper+malacophyllum,5,CEN,12095,RONCADOR,PR
CEN00041576,3,Peperomia+arifolia,5,CEN,11711,RONCADOR,PR
CEN00044960,13,Peperomia+glazioui,5,CEN,11761,GUARATUBA,PR
CEN00044965,48,Piper+dilatatum,5,CEN,12030,CERRO AZUL,PR
CEN00044966,39,Piper+aduncum,5,CEN,11858,DOUTOR ULYSSES,PR
CEN00044967,72,Piper+xylosteoides,5,CEN,12187,CERRO AZUL,PR
CEN00044983,43,Piper+arboreum,5,CEN,11959,JUNDIAI DO SUL,PR
CEN00044984,62,Piper+mollicomum,5,CEN,12112,JUNDIAI DO SUL,PR
CEN00044987,61,Piper+miquelianum,5,CEN,12107,TIJUCAS DO SUL,PR
CEN00044989,39,Piper+aduncum,5,CEN,11859,MORRETES,PR
CEN00044990,66,Piper+regnellii,5,CEN,12141,CASTRO,PR
CEN00044991,39,Piper+aduncum,5,CEN,11860,JUNDIAI DO SUL,PR
CEN00044992,69,Piper+solmsianum,5,CEN,11402,SAO JOSE DOS PINHAIS,PR
CEN00044993,69,Piper+solmsianum,5,CEN,11403,GUARATUBA,PR
CEN00044995,5,Peperomia+blanda,5,CEN,11717,BOCAIUVA DO SUL,PR
CEN00044996,43,Piper+arboreum,5,CEN,11352,CERRO AZUL,PR
CEN00044998,52,Piper+glabratum,5,CEN,12062,JUNDIAI DO SUL,PR
CEN00045000,42,Piper+amplum,5,CEN,11920,RIBEIRAO DO PINHAL,PR
CEN00045009,54,Piper+hayneanum,5,CEN,11370,FOZ DO IGUACU,PR
CEN00045012,43,Piper+arboreum,5,CEN,11353,ANTONINA,PR
CEN00045013,37,Peperomia+urocarpa,5,CEN,11809,CANDOI,PR
CEN00045015,12,Peperomia+glabella,5,CEN,11292,DOUTOR ULYSSES,PR
CEN00045016,7,Peperomia+circinnata,5,CEN,11731,JUNDIAI DO SUL,PR
CEN00045020,66,Piper+regnellii,5,CEN,12142,SAO JOSE DOS PINHAIS,PR
CEN00045021,39,Piper+aduncum,5,CEN,11861,SAO JOSE DOS PINHAIS,PR
CEN00045022,66,Piper+regnellii,5,CEN,12143,SAO JOSE DOS PINHAIS,PR
CEN00045025,48,Piper+dilatatum,5,CEN,12032,ADRIANOPOLIS,PR
CEN00045026,39,Piper+aduncum,5,CEN,11862,ADRIANOPOLIS,PR
CEN00045027,62,Piper+mollicomum,5,CEN,12113,ADRIANOPOLIS,PR
CEN00045028,39,Piper+aduncum,5,CEN,11863,DOUTOR ULYSSES,PR
CEN00045029,41,Piper+amalago,5,CEN,11901,CERRO AZUL,PR
CEN00045030,39,Piper+aduncum,5,CEN,11344,CERRO AZUL,PR
CEN00045032,29,Peperomia+rotundifolia,5,CEN,11319,ARAQUARI,SC
CEN00045033,39,Piper+aduncum,5,CEN,11345,ARAQUARI,SC
CEN00045034,69,Piper+solmsianum,5,CEN,11404,ARAQUARI,SC
CEN00045035,39,Piper+aduncum,5,CEN,11346,ARAQUARI,SC
CEN00045036,35,Peperomia+trineura,5,CEN,11806,CAMPO ALEGRE,SC
CEN00047013_1,19,Peperomia+martiana,5,CEN,11780,CAMPO LARGO,PR
CEN00047014,6,Peperomia+catharinae,5,CEN,11280,MORRETES,PR
CEN00047015,12,Peperomia+glabella,5,CEN,11293,MORRETES,PR
CEN00047028,39,Piper+aduncum,5,CEN,11869,PARANAGUA,PR
CEN00047033,46,Piper+cernuum,5,CEN,11993,PARANAGUA,PR
CEN00047034,48,Piper+dilatatum,5,CEN,12034,PARANAGUA,PR
CEN00047035,43,Piper+arboreum,5,CEN,11964,PARANAGUA,PR
CEN00047036,49,Piper+diospyrifolium,5,CEN,12038,PARANAGUA,PR
CEN00047094,72,Piper+xylosteoides,5,CEN,12201,CERRO AZUL,PR
CEN00047096,3,Peperomia+arifolia,5,CEN,11278,CERRO AZUL,PR
CEN00047104,66,Piper+regnellii,5,CEN,12146,TOMAZINA,PR
CEN00047107,9,Peperomia+delicatula,5,CEN,11746,CAMBARA DO SUL,RS
CEN00047114,35,Peperomia+trineura,5,CEN,11807,URUBICI,SC
CEN00047116,45,Piper+caldense,5,CEN,11357,GUARAQUECABA,PR
CEN00047117,16,Peperomia+hispidula,5,CEN,11299,UNIAO DA VITORIA,PR
CEN00050798,72,Piper+xylosteoides,5,CEN,12204,SAO JOSE DOS PINHAIS,PR
CEN00050799,53,Piper+grazielae,5,CEN,12003,ANTONINA,PR
CEN00050801,72,Piper+xylosteoides,5,CEN,12205,PARANAGUA,PR
CEN00050803,42,Piper+amplum,5,CEN,11922,GARUVA,SC
CEN00050804,59,Piper+malacophyllum,5,CEN,12097,GARUVA,SC
CEN00050833,66,Piper+regnellii,5,CEN,12149,TIBAGI,PR
CEN00051595,60,Piper+mikanianum,5,CEN,12103,CURITIBA,PR
CEN00051635,72,Piper+xylosteoides,5,CEN,12206,TIJUCAS DO SUL,PR
CEN00051640,37,Peperomia+urocarpa,5,CEN,11811,JUNDIAI DO SUL,PR
CEN00051641,37,Peperomia+urocarpa,5,CEN,11812,ITAIOPOLIS,SC
CEN00051643,37,Peperomia+urocarpa,5,CEN,11813,ALMIRANTE TAMANDARE,PR
CEN00051646,2,Peperomia+alata,5,CEN,11695,JUNDIAI DO SUL,PR
CEN00051649,30,Peperomia+rubricaulis,5,CEN,11792,MORRETES,PR
CEN00051652,42,Piper+amplum,5,CEN,11923,GUARAQUECABA,PR
CEN00051653,8,Peperomia+corcovadensis,5,CEN,11740,GUARAQUECABA,PR
CEN00051654,46,Piper+cernuum,5,CEN,11360,GUARAQUECABA,PR
CEN00051662,37,Peperomia+urocarpa,5,CEN,11814,PARANAGUA,PR
CEN00051671,6,Peperomia+catharinae,5,CEN,11282,BOCAIUVA DO SUL,PR
CEN00051676,55,Piper+hispidum,5,CEN,12077,CAMPINA GRANDE DO SUL,PR
CEN00051678,26,Peperomia+pseudoestrellensis,5,CEN,11311,GARUVA,SC
CEN00051679,37,Peperomia+urocarpa,5,CEN,11815,GARUVA,SC
CEN00051681,2,Peperomia+alata,5,CEN,11698,DOUTOR ULYSSES,PR
CEN00051682,6,Peperomia+catharinae,5,CEN,11283,MORRETES,PR
