"filename";"fold";"specific_epithet"
"ALCB002298";16;"Peperomia+galioides"
"ALCB002375";21;"Peperomia+loxensis"
"ALCB002486";45;"Piper+anisum"
"ALCB002496";47;"Piper+arboreum"
"ALCB002511";47;"Piper+arboreum"
"ALCB002624";42;"Piper+aduncum"
"ALCB002680";66;"Piper+hispidum"
"CBPM00000122_1";86;"Piper+regnellii"
"CBPM00000284";80;"Piper+mollicomum"
"CBPM00000285";42;"Piper+aduncum"
"CBPM00000286";90;"Piper+rivinoides"
"CBPM00000287";43;"Piper+amalago"
"CBPM00000288";80;"Piper+mollicomum"
"CBPM00000290";42;"Piper+aduncum"
"CBPM00000427_1";80;"Piper+mollicomum"
"CBPM00000428_1";90;"Piper+rivinoides"
"CBPM00000430";43;"Piper+amalago"
"CBPM00000457_1";42;"Piper+aduncum"
"CBPM00000458";80;"Piper+mollicomum"
"CBPM00000459_1";99;"Piper+umbellatum"
"CBPM00000636";80;"Piper+mollicomum"
"CBPM00000637";80;"Piper+mollicomum"
"CBPM00000638";80;"Piper+mollicomum"
"CEN00025681";12;"Peperomia+dahlstedtii"
"CEN00033668";47;"Piper+arboreum"
"CEN00033675";47;"Piper+arboreum"
"CEN00036864";20;"Peperomia+hispidula"
"CEN00036870";13;"Peperomia+decora"
"CEN00036873";57;"Piper+divaricatum"
"CEN00036897";47;"Piper+arboreum"
"CEN00036909";37;"Peperomia+tetraphylla"
"CEN00036978";42;"Piper+aduncum"
"CEN00037029";47;"Piper+arboreum"
"CEN00037822";42;"Piper+aduncum"
"CEN00037824";44;"Piper+amplum"
"CEN00037825";44;"Piper+amplum"
"CEN00039089";57;"Piper+divaricatum"
"CEN00039091";44;"Piper+amplum"
"CEN00039754";73;"Piper+lhotzkyanum"
"CEN00039755";86;"Piper+regnellii"
"CEN00039760";54;"Piper+crassinervium"
"CEN00039761";45;"Piper+anisum"
"CEN00039762";50;"Piper+cernuum"
"CEN00039764";44;"Piper+amplum"
"CEN00039765";57;"Piper+divaricatum"
"CEN00039769";22;"Peperomia+martiana"
"CEN00039772";47;"Piper+arboreum"
"CEN00039779";42;"Piper+aduncum"
"CEN00039780";32;"Peperomia+rotundifolia"
"CEN00039783";63;"Piper+grazielae"
"CEN00039784";60;"Piper+fuligineum"
"CEN00041550";49;"Piper+caldense"
"CEN00041551";93;"Piper+solmsianum"
"CEN00041990";47;"Piper+arboreum"
"CEN00044970";44;"Piper+amplum"
"CEN00045019";56;"Piper+dilatatum"
"CEN00045024";9;"Peperomia+clivicola"
"CEN00046072";7;"Peperomia+catharinae"
"CEN00046073";37;"Peperomia+tetraphylla"
"CEN00046234";43;"Piper+amalago"
"CEN00046235";47;"Piper+arboreum"
"CEN00046247";42;"Piper+aduncum"
"CEN00046251";54;"Piper+crassinervium"
"CEN00046252";16;"Peperomia+galioides"
"CEN00046253";95;"Piper+tectoniifolium"
"CEN00046277";47;"Piper+arboreum"
"CEN00046278";50;"Piper+cernuum"
"CEN00046279";50;"Piper+cernuum"
"CEN00046280";47;"Piper+arboreum"
"CEN00046281";50;"Piper+cernuum"
"CEN00047016";42;"Piper+aduncum"
"CEN00047023";40;"Peperomia+velloziana"
"CEN00047024";44;"Piper+amplum"
"CEN00047025";2;"Peperomia+alata"
"CEN00047026";10;"Peperomia+corcovadensis"
"CEN00047037";18;"Peperomia+glazioui"
"CEN00047038";37;"Peperomia+tetraphylla"
"CEN00047089";100;"Piper+vicosanum"
"CEN00047090";50;"Piper+cernuum"
"CEN00047093";60;"Piper+fuligineum"
"CEN00047100";37;"Peperomia+tetraphylla"
"CEN00047105";64;"Piper+hayneanum"
"CEN00047115";7;"Peperomia+catharinae"
"CEN00047213";47;"Piper+arboreum"
"CEN00047258";15;"Peperomia+elongata"
"CEN00047328";23;"Peperomia+minensis"
"CEN00047382";8;"Peperomia+circinnata"
"CEN00047383";23;"Peperomia+minensis"
"CEN00047386";43;"Piper+amalago"
"CEN00047599";3;"Peperomia+arifolia"
"CEN00047600";8;"Peperomia+circinnata"
"CEN00047601";23;"Peperomia+minensis"
"CEN00047602";40;"Peperomia+velloziana"
"CEN00047606";47;"Piper+arboreum"
"CEN00047625";99;"Piper+umbellatum"
"CEN00047673";40;"Peperomia+velloziana"
"CEN00047830";43;"Piper+amalago"
"CEN00047837";8;"Peperomia+circinnata"
"CEN00047838";3;"Peperomia+arifolia"
"CEN00048293";46;"Piper+anonifolium"
"CEN00048295";30;"Peperomia+psilostachya"
"CEN00048296";30;"Peperomia+psilostachya"
"CEN00048297";102;"Piper+xylosteoides"
"CEN00049315";35;"Peperomia+subrubrispica"
"CEN00049316";95;"Piper+tectoniifolium"
"CEN00049317";35;"Peperomia+subrubrispica"
"CEN00049318";54;"Piper+crassinervium"
"CEN00049319";26;"Peperomia+oreophila"
"CEN00049320";62;"Piper+glabratum"
"CEN00049321";95;"Piper+tectoniifolium"
"CEN00049323";35;"Peperomia+subrubrispica"
"CEN00049324";34;"Peperomia+subrubricaulis"
"CEN00049325";35;"Peperomia+subrubrispica"
"CEN00049326";95;"Piper+tectoniifolium"
"CEN00049327";31;"Peperomia+quadrifolia"
"CEN00049328";35;"Peperomia+subrubrispica"
"CEN00049329";21;"Peperomia+loxensis"
"CEN00049330";62;"Piper+glabratum"
"CEN00049331";21;"Peperomia+loxensis"
"CEN00049332";47;"Piper+arboreum"
"CEN00049333";39;"Peperomia+urocarpa"
"CEN00049334";49;"Piper+caldense"
"CEN00049336";21;"Peperomia+loxensis"
"CEN00049337";35;"Peperomia+subrubrispica"
"CEN00049338";95;"Piper+tectoniifolium"
"CEN00049339";34;"Peperomia+subrubricaulis"
"CEN00049340";21;"Peperomia+loxensis"
"CEN00049341";49;"Piper+caldense"
"CEN00049342";101;"Piper+viminifolium"
"CEN00050802";51;"Piper+chimonanthifolium"
"CEN00051588";51;"Piper+chimonanthifolium"
"CEN00051590";43;"Piper+amalago"
"CEN00051591";40;"Peperomia+velloziana"
"CEN00051596";43;"Piper+amalago"
"CEN00051599";53;"Piper+concinnatoris"
"CEN00051600";61;"Piper+gaudichaudianum"
"CEN00051604";31;"Peperomia+quadrifolia"
"CEN00051606";73;"Piper+lhotzkyanum"
"CEN00051607_1";41;"Piper+abutiloides"
"CEN00051608";63;"Piper+grazielae"
"CEN00051612";71;"Piper+lanceolatum"
"CEN00051613";21;"Peperomia+loxensis"
"CEN00051616";43;"Piper+amalago"
"CEN00051617";66;"Piper+hispidum"
"CEN00051619";45;"Piper+anisum"
"CEN00051621";80;"Piper+mollicomum"
"CEN00051622";82;"Piper+ovatum"
"CEN00051627";21;"Peperomia+loxensis"
"CEN00051629";93;"Piper+solmsianum"
"CEN00051630";71;"Piper+lanceolatum"
"CEN00051633";15;"Peperomia+elongata"
"CEN00051637";51;"Piper+chimonanthifolium"
"CEN00051644";13;"Peperomia+decora"
"CEN00051673_1";6;"Peperomia+blanda"
"CEN00051680";54;"Piper+crassinervium"
"CEN00051769";47;"Piper+arboreum"
"CEN00051770";42;"Piper+aduncum"
"CEN00053942";20;"Peperomia+hispidula"
"CEN00054540";42;"Piper+aduncum"
"CEN00054541";43;"Piper+amalago"
"CEN00054542";54;"Piper+crassinervium"
"CEN00054543";78;"Piper+mikanianum"
"CEN00054545";2;"Peperomia+alata"
"CEN00054546";99;"Piper+umbellatum"
"CEN00054547";42;"Piper+aduncum"
"CEN00054549";43;"Piper+amalago"
"CEN00054550";102;"Piper+xylosteoides"
"CEN00054551";42;"Piper+aduncum"
"CEN00054552";80;"Piper+mollicomum"
"CEN00054553";50;"Piper+cernuum"
"CEN00054555";80;"Piper+mollicomum"
"CEN00054556";50;"Piper+cernuum"
"CEN00054557";42;"Piper+aduncum"
"CEN00054567";99;"Piper+umbellatum"
"CEN00054569";80;"Piper+mollicomum"
"CEN00058591";20;"Peperomia+hispidula"
"CEN00060166";60;"Piper+fuligineum"
"CEN00061730";60;"Piper+fuligineum"
"CEN00063954";45;"Piper+anisum"
"CEN00070926";47;"Piper+arboreum"
"CEN00070931";47;"Piper+arboreum"
"CEN00070936";44;"Piper+amplum"
"CEN00070970";61;"Piper+gaudichaudianum"
"CEN00076991";80;"Piper+mollicomum"
"CEN00079024";42;"Piper+aduncum"
"CEN00079967";73;"Piper+lhotzkyanum"
"CEN00079969";39;"Peperomia+urocarpa"
"CEN00080325";49;"Piper+caldense"
"CEN00080328";62;"Piper+glabratum"
"CEN00080344";45;"Piper+anisum"
"CEN00080348";80;"Piper+mollicomum"
"CEN00080356";35;"Peperomia+subrubrispica"
"CEN00092895";47;"Piper+arboreum"
"CEN00092896";42;"Piper+aduncum"
"CEN00098280";90;"Piper+rivinoides"
"CEN00098282";83;"Piper+permucronatum"
"CEN00098283";50;"Piper+cernuum"
"CEN00106730";42;"Piper+aduncum"
"CEN00114759";16;"Peperomia+galioides"
"CESJ002485";50;"Piper+cernuum"
"CESJ015095_1";51;"Piper+chimonanthifolium"
"CESJ023110_1";55;"Piper+cubataonum"
"CESJ023549";40;"Peperomia+velloziana"
"CESJ053366";32;"Peperomia+rotundifolia"
"CVRD001437";44;"Piper+amplum"
"CVRD001642";15;"Peperomia+elongata"
"CVRD002923";44;"Piper+amplum"
"CVRD002972";80;"Piper+mollicomum"
"CVRD003622";47;"Piper+arboreum"
"CVRD004144";25;"Peperomia+obtusifolia"
"CVRD004598";15;"Peperomia+elongata"
"CVRD005467";49;"Piper+caldense"
"CVRD005575";27;"Peperomia+pellucida"
"CVRD005584";30;"Peperomia+psilostachya"
"CVRD005885";80;"Piper+mollicomum"
"CVRD006306";57;"Piper+divaricatum"
"CVRD007063";44;"Piper+amplum"
"CVRD007340";47;"Piper+arboreum"
"CVRD007469";30;"Peperomia+psilostachya"
"CVRD008138";51;"Piper+chimonanthifolium"
"CVRD009013";100;"Piper+vicosanum"
"CVRD009039";43;"Piper+amalago"
"CVRD009040";61;"Piper+gaudichaudianum"
"CVRD009041";47;"Piper+arboreum"
"CVRD009043";82;"Piper+ovatum"
"CVRD009045";68;"Piper+ilheusense"
"CVRD009323";57;"Piper+divaricatum"
"CVRD009324";80;"Piper+mollicomum"
"CVRD009376";46;"Piper+anonifolium"
