filename,fold,specific_epithet,min,herbaria,seq,county,state
ALCB002298,16,Peperomia+galioides,5,ALCB,26123,Santa Rita do Sapucaí,Minas Gerais
ALCB002375,21,Peperomia+loxensis,5,ALCB,25594,Brotas,São Paulo
ALCB002486,45,Piper+anisum,5,ALCB,25848,Teresópolis,Rio de Janeiro
ALCB002496,47,Piper+arboreum,5,ALCB,25903,Guaratinguetá,São Paulo
ALCB002511,47,Piper+arboreum,5,ALCB,26114,Conceição da Barra,Espírito Santo
ALCB002624,42,Piper+aduncum,5,ALCB,25819,Monte Alegre,São Paulo
ALCB002680,66,Piper+hispidum,5,ALCB,25977,,Minas Gerais
CBPM00000122_1,86,Piper+regnellii,5,CBPM,14570,Nova Friburgo,Rio de Janeiro
CBPM00000284,80,Piper+mollicomum,5,CBPM,14575,Duque de Caxias,Rio de Janeiro
CBPM00000285,42,Piper+aduncum,5,CBPM,14567,Duque de Caxias,Rio de Janeiro
CBPM00000286,90,Piper+rivinoides,5,CBPM,14557,Rio de Janeiro,Rio de Janeiro
CBPM00000287,43,Piper+amalago,5,CBPM,14577,Rio de Janeiro,Rio de Janeiro
CBPM00000288,80,Piper+mollicomum,5,CBPM,14554,Rio de Janeiro,Rio de Janeiro
CBPM00000290,42,Piper+aduncum,5,CBPM,14571,Duque de Caxias,Rio de Janeiro
CBPM00000427_1,80,Piper+mollicomum,5,CBPM,14548,Rio de Janeiro,Rio de Janeiro
CBPM00000428_1,90,Piper+rivinoides,5,CBPM,14583,Rio de Janeiro,Rio de Janeiro
CBPM00000430,43,Piper+amalago,5,CBPM,14565,Rio de Janeiro,Rio de Janeiro
CBPM00000457_1,42,Piper+aduncum,5,CBPM,14566,Santa Maria Madalena,Rio de Janeiro
CBPM00000458,80,Piper+mollicomum,5,CBPM,14556,Engenheiro Paulo de Frontin,Rio de Janeiro
CBPM00000459_1,99,Piper+umbellatum,5,CBPM,14549,Engenheiro Paulo de Frontin,Rio de Janeiro
CBPM00000636,80,Piper+mollicomum,5,CBPM,14553,Rio de Janeiro,Rio de Janeiro
CBPM00000637,80,Piper+mollicomum,5,CBPM,14580,Rio de Janeiro,Rio de Janeiro
CBPM00000638,80,Piper+mollicomum,5,CBPM,14579,Rio de Janeiro,Rio de Janeiro
CEN00025681,12,Peperomia+dahlstedtii,5,CEN,12479,UNAI,MG
CEN00033668,47,Piper+arboreum,5,CEN,12424,ACUCENA,MG
CEN00033675,47,Piper+arboreum,5,CEN,12423,ACUCENA,MG
